"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Insulin-Like Growth Factor I Binding (GO:0031994)","7/12",0.0290987074142789,0.715890745219618,0,0,3.52228671943712,12.4585448337352,"IGFBP1;IGFBP3;INSR;ITGB3;IGFBP2;ITGA6;ITGAV"
"Platelet-Derived Growth Factor Receptor Binding (GO:0005161)","7/12",0.0290987074142789,0.715890745219618,0,0,3.52228671943712,12.4585448337352,"PDGFRA;IL1R1;ITGB3;PDGFC;PTPRJ;ITGA5;VEGFA"
"Protein Kinase A Catalytic Subunit Binding (GO:0034236)","7/12",0.0290987074142789,0.715890745219618,0,0,3.52228671943712,12.4585448337352,"GSK3B;RYR2;PKIA;PRKAR2A;SOX9;EZR;PJA2"
"Protein Kinase C Binding (GO:0005080)","16/36",0.0294936262075498,0.715890745219618,0,0,2.0138125440451,7.09583181862042,"DSP;HDAC5;UGT1A10;AVPR1B;IRS1;CAVIN2;PRKCB;HDAC9;HINT1;GRK5;DACT2;PKP2;ADAM9;ITGAV;PDLIM5;UGT1A7"
"Cell Adhesion Mediator Activity (GO:0098631)","13/28",0.0326577975085161,0.770397672235541,0,0,2.18124082878441,7.46348986354374,"NTNG1;ROBO4;DSCAM;NFASC;PALLD;CNTN1;NRCAM;EMB;CD47;CNTN4;LRRC4C;DSCAML1;CD200"
"WW Domain Binding (GO:0050699)","10/20",0.0339032683474442,0.770397672235541,0,0,2.51636747624076,8.51600117547067,"ENAH;SCNN1G;NDFIP2;TRAF4;TNK2;SCNN1B;SCNN1A;PMEPA1;RAPGEF2;TP63"
"Lysophosphatidic Acid Acyltransferase Activity (GO:0042171)","10/20",0.0339032683474442,0.770397672235541,0,0,2.51636747624076,8.51600117547067,"AGPAT5;LPGAT1;GPAT4;MBOAT1;MBOAT2;GPAT3;ABHD5;LCLAT1;AGPAT3;AGPAT4"
"JUN Kinase Kinase Kinase Activity (GO:0004706)","6/10",0.0369188899821483,0.788587490018687,0,0,3.77347871966233,12.4488268032972,"RIPK2;MAP3K20;MAP3K21;MAP3K9;MAP3K13;MAP3K5"
"cGMP Binding (GO:0030553)","6/10",0.0369188899821483,0.788587490018687,0,0,3.77347871966233,12.4488268032972,"PDE11A;PDE10A;RAPGEF2;CNGA3;PDE5A;CNGB1"
"Transforming Growth Factor Beta Receptor Activity (GO:0005024)","6/10",0.0369188899821483,0.788587490018687,0,0,3.77347871966233,12.4488268032972,"TGFBR3;BMPR1B;LTBP1;TGFBR1;BMPR1A;TGFBR2"
"Phosphatidylinositol-3-Phosphate Binding (GO:0032266)","17/40",0.0398790289998824,0.835113783762244,0,0,1.86052480367746,5.99443357637717,"PLEKHF1;PLA2G4E;DENND1A;NCF4;SNX13;PLA2G4A;VPS13B;WIPI1;WIPI2;JPH2;SESTD1;PARD3;ZFYVE19;SH3PXD2B;LANCL2;RUBCNL;TECPR1"
"Transforming Growth Factor Beta Receptor Binding (GO:0005160)","9/18",0.043506072657003,0.88957672431753,0,0,2.51610065106458,7.88761007575805,"SMAD2;TGFBR3;SMAD3;TGFBRAP1;SMAD6;TGFBR1;FERMT2;SMAD7;TGFBR2"
"Metallocarboxypeptidase Activity (GO:0004181)","13/29",0.0441456614127613,0.88957672431753,0,0,2.04477020602219,6.38021596308435,"CPB2;CPA1;AGTPBP1;FOLH1B;VASH2;AGBL4;CYP2A6;FOLH1;AGBL1;AGBL3;AGBL2;CPE;CPA5"
"Actin Binding (GO:0003779)","63/183",0.0450537910307626,0.891063867052861,0,0,1.32327233966957,4.10200947350909,"ITGB1;LDB3;FMN2;LMOD3;SYNE2;SYNE1;EPS8;CAPZB;PHACTR3;PHACTR2;PHACTR1;TMOD1;PLEKHG3;PACRG;PRKCE;TPM1;VASH2;COBL;MYRIP;SPTB;MTSS1;SYNPO2L;TMSB15A;MAP1B;KCNMA1;FSCN1;MYH9;TLN2;LCP1;EZR;UTRN;VCL;PRKN;MACF1;CXCR4;IQGAP2;ADD1;ABLIM1;PDLIM3;CALD1;MICAL1;ABL1;ABL2;FLNB;PDLIM5;GBP1;SPTBN2;SNCA;RDX;MICAL2;MSN;PARVA;GCSAM;PARVB;FHDC1;SSH2;CORO2B;MLPH;PARVG;PIP;CAPZA1;MSRB2;FERMT2"
"Histone H3K14 Acetyltransferase Activity (GO:0036408)","5/8",0.0467727209228612,0.908241199011196,0,0,4.19230994666198,12.8387611122066,"ING4;MEAF6;KAT6B;KAT6A;JADE1"
"NADP Binding (GO:0050661)","15/35",0.0481123481981069,0.917571212063895,0,0,1.88761669896072,5.72743757419972,"DHFR2;KCNAB1;HMGCR;HSD11B1;DHFR;DUOX1;GRHPR;GMDS;NNT;DPYD;NOX5;NOS1;CRYM;LBR;CBR4"
"Phosphatidylinositol-5-Phosphate Binding (GO:0010314)","8/16",0.0560790944345802,0.949047477929967,0,0,2.51583391977481,7.24809785943795,"PLEKHF1;PLA2G4E;SESTD1;VEPH1;SH3PXD2B;LANCL2;RUBCNL;PLA2G4A"
"Retinoid Binding (GO:0005501)","13/30",0.0581699829834793,0.949047477929967,0,0,1.92435495064375,5.47360792192351,"KDM5A;UGT1A10;NR2F2;CYP26A1;RXRA;CYP26C1;ALDH1A2;UGT1A4;UGT1A9;UGT1A8;UGT1A7;UGT2B7;UGT1A6"
"P-type Potassium Transmembrane Transporter Activity (GO:0008556)","4/6",0.0588826098222734,0.949047477929967,0,0,5.03023909985935,14.2466908709052,"ATP4B;ATP1A4;ATP1A2;ATP1A1"
"acyl-CoA Oxidase Activity (GO:0003997)","4/6",0.0588826098222734,0.949047477929967,0,0,5.03023909985935,14.2466908709052,"ACOXL;ACADL;ACOX2;ACOX3"
